"year","leaid","lea_name","state_name","city_location","agency_type","enrollment","cohort_num","grad_rate_high","grad_rate_low","grad_rate_midpt"
"2018","3404230","East Orange School District","New Jersey","East Orange","Regular local school district","10072","","","",""
"2017","3404230","East Orange School District","New Jersey","East Orange","Regular local school district","9937","646","79","79","79"
"2016","3404230","East Orange School District","New Jersey","East Orange","Regular local school district","10028","653","77","77","77"
"2015","3404230","East Orange School District","New Jersey","East Orange","Regular local school district","10261","642","75","75","75"
"2014","3404230","East Orange School District","New Jersey","East Orange","Regular local school district","10858","692","76","76","76"
"2013","3404230","EAST ORANGE SCHOOL DISTRICT","New Jersey","EAST ORANGE","Regular local school district","9465","718","72","72","72"
"2012","3404230","EAST ORANGE SCHOOL DISTRICT","New Jersey","EAST ORANGE","Regular local school district","9660","731","70","70","70"
"2011","3404230","EAST ORANGE","New Jersey","EAST ORANGE","Regular local school district","9709","760","71","71","71"
"2010","3404230","EAST ORANGE","New Jersey","EAST ORANGE","Regular local school district","11989","746","64","64","64"
"2009","3404230","EAST ORANGE","New Jersey","EAST ORANGE","Regular local school district","10053","","","",""
"2008","3404230","EAST ORANGE","New Jersey","EAST ORANGE","Regular local school district","9741","","","",""
"2007","3404230","EAST ORANGE","New Jersey","EAST ORANGE","Regular local school district","9893","","","",""
"2006","3404230","EAST ORANGE","New Jersey","EAST ORANGE","Regular local school district","10242","","","",""
"2005","3404230","EAST ORANGE","New Jersey","EAST ORANGE","Regular local school district","10797","","","",""
"2004","3404230","EAST ORANGE","New Jersey","EAST ORANGE","Regular local school district","11252","","","",""
"2003","3404230","EAST ORANGE","New Jersey","EAST ORANGE","Regular local school district","12403","","","",""
"2002","3404230","EAST ORANGE","New Jersey","EAST ORANGE","Regular local school district","11762","","","",""
"2001","3404230","EAST ORANGE","New Jersey","EAST ORANGE","Regular local school district","11651","","","",""
"2000","3404230","EAST ORANGE","New Jersey","EAST ORANGE","Regular local school district","11277","","","",""
