"year","leaid","lea_name","state_name","cohort_num","grad_rate_high","grad_rate_low","grad_rate_midpt","race"
"2017","3404230","East Orange School District","New Jersey","646","79","79","79","Total"
"2017","3404230","East Orange School District","New Jersey","","","","","American Indian or Alaska Native"
"2017","3404230","East Orange School District","New Jersey","2","Suppressed data","Suppressed data","Suppressed data","Asian"
"2017","3404230","East Orange School District","New Jersey","594","80","80","80","Black"
"2017","3404230","East Orange School District","New Jersey","49","79","70","74","Hispanic"
"2017","3404230","East Orange School District","New Jersey","1","Suppressed data","Suppressed data","Suppressed data","Two or more races"
"2017","3404230","East Orange School District","New Jersey","","","","","White"
"2016","3404230","East Orange School District","New Jersey","653","77","77","77","Total"
"2016","3404230","East Orange School District","New Jersey","","","","","American Indian or Alaska Native"
"2016","3404230","East Orange School District","New Jersey","1","Suppressed data","Suppressed data","Suppressed data","Asian"
"2016","3404230","East Orange School District","New Jersey","604","77","77","77","Black"
"2016","3404230","East Orange School District","New Jersey","47","69","60","64","Hispanic"
"2016","3404230","East Orange School District","New Jersey","","","","","Two or more races"
"2016","3404230","East Orange School District","New Jersey","1","Suppressed data","Suppressed data","Suppressed data","White"
"2015","3404230","East Orange School District","New Jersey","642","75","75","75","Total"
"2015","3404230","East Orange School District","New Jersey","","","","","American Indian or Alaska Native"
"2015","3404230","East Orange School District","New Jersey","4","Suppressed data","Suppressed data","Suppressed data","Asian"
"2015","3404230","East Orange School District","New Jersey","597","76","76","76","Black"
"2015","3404230","East Orange School District","New Jersey","38","69","60","64","Hispanic"
"2015","3404230","East Orange School District","New Jersey","1","Suppressed data","Suppressed data","Suppressed data","Two or more races"
"2015","3404230","East Orange School District","New Jersey","2","Suppressed data","Suppressed data","Suppressed data","White"
"2014","3404230","East Orange School District","New Jersey","692","76","76","76","Total"
"2014","3404230","East Orange School District","New Jersey","1","Suppressed data","Suppressed data","Suppressed data","American Indian or Alaska Native"
"2014","3404230","East Orange School District","New Jersey","1","Suppressed data","Suppressed data","Suppressed data","Asian"
"2014","3404230","East Orange School District","New Jersey","650","75","75","75","Black"
"2014","3404230","East Orange School District","New Jersey","37","89","80","84","Hispanic"
"2014","3404230","East Orange School District","New Jersey","1","Suppressed data","Suppressed data","Suppressed data","Two or more races"
"2014","3404230","East Orange School District","New Jersey","2","Suppressed data","Suppressed data","Suppressed data","White"
"2013","3404230","EAST ORANGE SCHOOL DISTRICT","New Jersey","718","72","72","72","Total"
"2013","3404230","EAST ORANGE SCHOOL DISTRICT","New Jersey","","","","","American Indian or Alaska Native"
"2013","3404230","EAST ORANGE SCHOOL DISTRICT","New Jersey","1","Suppressed data","Suppressed data","Suppressed data","Asian"
"2013","3404230","EAST ORANGE SCHOOL DISTRICT","New Jersey","690","72","72","72","Black"
"2013","3404230","EAST ORANGE SCHOOL DISTRICT","New Jersey","26","59","40","49","Hispanic"
"2013","3404230","EAST ORANGE SCHOOL DISTRICT","New Jersey","","","","","Two or more races"
"2013","3404230","EAST ORANGE SCHOOL DISTRICT","New Jersey","1","Suppressed data","Suppressed data","Suppressed data","White"
"2012","3404230","EAST ORANGE SCHOOL DISTRICT","New Jersey","731","70","70","70","Total"
"2012","3404230","EAST ORANGE SCHOOL DISTRICT","New Jersey","1","Suppressed data","Suppressed data","Suppressed data","American Indian or Alaska Native"
"2012","3404230","EAST ORANGE SCHOOL DISTRICT","New Jersey","1","Suppressed data","Suppressed data","Suppressed data","Asian"
"2012","3404230","EAST ORANGE SCHOOL DISTRICT","New Jersey","687","70","70","70","Black"
"2012","3404230","EAST ORANGE SCHOOL DISTRICT","New Jersey","39","69","60","64","Hispanic"
"2012","3404230","EAST ORANGE SCHOOL DISTRICT","New Jersey","2","Suppressed data","Suppressed data","Suppressed data","Two or more races"
"2012","3404230","EAST ORANGE SCHOOL DISTRICT","New Jersey","1","Suppressed data","Suppressed data","Suppressed data","White"
"2011","3404230","EAST ORANGE","New Jersey","760","71","71","71","Total"
"2011","3404230","EAST ORANGE","New Jersey","","","","","American Indian or Alaska Native"
"2011","3404230","EAST ORANGE","New Jersey","","","","","Asian"
"2011","3404230","EAST ORANGE","New Jersey","717","71","71","71","Black"
"2011","3404230","EAST ORANGE","New Jersey","43","69","60","64","Hispanic"
"2011","3404230","EAST ORANGE","New Jersey","","","","","Two or more races"
"2011","3404230","EAST ORANGE","New Jersey","","","","","White"
"2010","3404230","EAST ORANGE","New Jersey","746","64","64","64","Total"
"2010","3404230","EAST ORANGE","New Jersey","","","","","American Indian or Alaska Native"
"2010","3404230","EAST ORANGE","New Jersey","","","","","Asian"
"2010","3404230","EAST ORANGE","New Jersey","698","65","65","65","Black"
"2010","3404230","EAST ORANGE","New Jersey","47","59","50","54","Hispanic"
"2010","3404230","EAST ORANGE","New Jersey","","","","","Two or more races"
"2010","3404230","EAST ORANGE","New Jersey","1","Suppressed data","Suppressed data","Suppressed data","White"
